time,connected,alive,connectivity_pct,e0_mah,traffic_interval,tree_only
3620.000000,1,13,7.6923,0.2500,1.0000,False
3630.000000,1,13,7.6923,0.2500,1.0000,False
3640.000000,1,13,7.6923,0.2500,1.0000,False
3650.000000,1,13,7.6923,0.2500,1.0000,False
3660.000000,1,13,7.6923,0.2500,1.0000,False
3670.000000,1,13,7.6923,0.2500,1.0000,False
3680.000000,1,13,7.6923,0.2500,1.0000,False
3690.000000,1,13,7.6923,0.2500,1.0000,False
3700.000000,1,13,7.6923,0.2500,1.0000,False
3710.000000,1,13,7.6923,0.2500,1.0000,False
3720.000000,1,13,7.6923,0.2500,1.0000,False
3730.000000,1,13,7.6923,0.2500,1.0000,False
3740.000000,1,13,7.6923,0.2500,1.0000,False
3750.000000,1,13,7.6923,0.2500,1.0000,False
3760.000000,1,13,7.6923,0.2500,1.0000,False
3770.000000,1,13,7.6923,0.2500,1.0000,False
3780.000000,1,13,7.6923,0.2500,1.0000,False
3790.000000,1,13,7.6923,0.2500,1.0000,False
3800.000000,1,13,7.6923,0.2500,1.0000,False
3810.000000,1,13,7.6923,0.2500,1.0000,False
3820.000000,1,13,7.6923,0.2500,1.0000,False
3830.000000,1,13,7.6923,0.2500,1.0000,False
3840.000000,1,13,7.6923,0.2500,1.0000,False
3850.000000,1,13,7.6923,0.2500,1.0000,False
3860.000000,1,13,7.6923,0.2500,1.0000,False
3870.000000,1,13,7.6923,0.2500,1.0000,False
3880.000000,1,13,7.6923,0.2500,1.0000,False
3890.000000,1,13,7.6923,0.2500,1.0000,False
3900.000000,1,13,7.6923,0.2500,1.0000,False
3910.000000,1,13,7.6923,0.2500,1.0000,False
3920.000000,1,13,7.6923,0.2500,1.0000,False
3930.000000,1,13,7.6923,0.2500,1.0000,False
3940.000000,1,13,7.6923,0.2500,1.0000,False
3950.000000,1,13,7.6923,0.2500,1.0000,False
3960.000000,1,13,7.6923,0.2500,1.0000,False
3970.000000,1,13,7.6923,0.2500,1.0000,False
3980.000000,1,13,7.6923,0.2500,1.0000,False
3990.000000,1,13,7.6923,0.2500,1.0000,False
4000.000000,1,13,7.6923,0.2500,1.0000,False
4010.000000,1,13,7.6923,0.2500,1.0000,False
4020.000000,1,13,7.6923,0.2500,1.0000,False
4030.000000,1,13,7.6923,0.2500,1.0000,False
4040.000000,1,13,7.6923,0.2500,1.0000,False
4050.000000,1,13,7.6923,0.2500,1.0000,False
4060.000000,1,13,7.6923,0.2500,1.0000,False
