source_id,target_id,distance
3,46,450.815245
3,47,541.935871
3,48,509.736514
3,49,485.710445
4,5,69.644702
4,6,157.875514
4,7,218.816768
4,8,305.740849
4,9,191.364107
4,10,132.863095
4,11,94.137420
4,12,75.948829
4,13,143.624062
4,14,205.405611
4,15,251.862219
4,16,310.382565
4,17,231.280023
4,18,160.641858
4,19,176.799910
4,20,133.474245
4,21,175.644290
4,22,252.075594
4,23,317.215645
4,24,341.901998
4,25,310.693962
4,26,257.639505
4,27,216.851034
4,28,230.347565
4,29,272.098758
4,30,273.690956
4,31,362.012237
4,32,383.453235
4,33,337.689022
4,34,326.746593
4,35,290.772949
4,36,310.430013
4,37,331.338714
4,38,372.517335
4,39,411.881130
4,40,437.289321
4,41,408.066156
4,42,375.318601
4,43,352.354789
4,44,370.458863
4,45,412.469004
4,46,404.409942
4,47,491.615426
4,48,507.282471
4,49,476.727221
5,6,90.620223
5,7,154.024351
5,8,375.368441
5,9,261.007893
5,10,199.370065
5,11,154.613762
5,12,107.819650
5,13,116.893661
5,14,163.357613
5,15,200.939290
5,16,378.139695
5,17,295.500101
5,18,221.338478
5,19,221.959213
5,20,157.226171
5,21,170.004129
5,22,222.854762
5,23,274.752337
5,24,405.645650
5,25,371.977847
5,26,311.503422
5,27,257.570886
5,28,242.569908
5,29,272.600363
5,30,252.551169
5,31,333.344198
5,32,441.967991
5,33,393.913096
5,34,371.497560
5,35,327.552793
5,36,330.740994
5,37,331.965341
5,38,362.753213
5,39,384.772933
5,40,493.741541
5,41,456.488489
5,42,413.390034
5,43,385.408754
5,44,390.448327
5,45,413.437284
5,46,397.351661
5,47,472.624420
5,48,558.166207
5,49,522.229671
6,7,64.546645
6,8,462.061324
6,9,347.450723
6,10,279.149889
6,11,229.730023
6,12,168.067546
6,13,110.054738
6,14,113.696597
6,15,129.886600
6,16,457.464754
6,17,369.558536
6,18,292.883083
6,19,275.991430
6,20,197.708937
6,21,173.807034
6,22,183.382145
6,23,210.860846
6,24,477.151694
6,25,440.087297
6,26,370.909655
6,27,303.837074
6,28,256.492197
6,29,268.432709
6,30,221.197025
6,31,285.229580
6,32,504.703265
6,33,454.200105
6,34,416.982676
6,35,364.806405
6,36,347.237576
6,37,323.144278
6,38,338.388585
6,39,336.368367
6,40,552.587583
6,41,504.512391
6,42,448.750056
6,43,415.306286
6,44,403.374531
6,45,400.704585
6,46,374.832937
6,47,431.817417
6,48,607.867271
6,49,564.874559
7,8,519.299882
7,9,405.031491
7,10,332.605460
7,11,281.546620
7,12,215.645651
7,13,132.712598
7,14,99.066184
7,15,85.810167
7,16,508.505382
7,17,417.681271
7,18,340.796162
7,19,313.699830
7,20,232.421857
7,21,189.035884
7,22,163.645361
7,23,165.960799
7,24,522.135673
7,25,483.054640
7,26,409.115872
7,27,335.556969
7,28,269.801081
7,29,268.234180
7,30,204.054746
7,31,249.946183
7,32,543.032252
7,33,491.472044
7,34,444.772696
7,35,388.444687
7,36,357.404824
7,37,316.392307
7,38,319.379643
7,39,298.913257
7,40,587.575545
7,41,532.427639
7,42,468.878275
7,43,432.471920
7,44,409.084413
7,45,388.113371
7,46,355.856541
7,47,397.695763
7,48,635.665940
7,49,588.131146
8,9,114.615228
8,10,190.182081
8,11,241.855316
8,12,309.780647
8,13,409.505161
8,14,476.626996
8,15,530.739983
8,16,86.883942
8,17,145.956275
8,18,200.503701
8,19,263.129039
8,20,322.907673
8,21,395.859674
8,22,492.355670
8,23,573.765506
8,24,157.434662
8,25,173.519894
8,26,222.014567
8,27,282.604129
8,28,381.988076
8,29,437.789207
8,30,492.164179
8,31,581.410370
8,32,230.606524
8,33,226.942329
8,34,297.306862
8,35,321.595563
8,36,398.190995
8,37,477.156694
8,38,538.964783
8,39,620.223318
8,40,281.789271
8,41,319.697249
8,42,358.870375
8,43,369.797338
8,44,436.694261
8,45,536.250255
8,46,555.980481
8,47,666.155379
8,48,373.660968
8,49,384.981182
9,10,82.325797
9,11,131.676973
9,12,198.619413
9,13,299.071381
9,14,366.623415
9,15,419.985596
9,16,133.858619
9,17,101.257242
9,18,108.801045
9,19,177.154943
9,20,220.197398
9,21,292.862067
