seq_no,packet_type,origin_uid,dst_addr,final_uid,created_time,delivered_time,delay,hop_count,path
3380,DATA,50,"[1,254]",18,115.766956,115.767750,0.000794,9,50->41->32->22->33->34->35->26->17->18
3381,DATA,43,"[1,254]",18,115.770043,115.770464,0.000422,5,43->34->35->26->17->18
3382,DATA,81,"[1,254]",18,115.770506,115.771551,0.001045,12,81->92->93->83->73->63->54->43->34->35->26->17->18
3383,DATA,31,"[1,254]",18,115.783006,115.783584,0.000578,7,31->22->33->34->35->26->17->18
3384,DATA,73,"[1,254]",18,115.784717,115.785384,0.000667,8,73->63->54->43->34->35->26->17->18
3385,DATA,11,"[1,254]",18,115.793401,115.794009,0.000608,7,11->22->33->34->35->26->17->18
3386,DATA,92,"[1,254]",18,115.809843,115.810803,0.000961,11,92->93->83->73->63->54->43->34->35->26->17->18
712,DATA,39,"[1,254]",18,115.815243,115.815528,0.000285,3,39->38->27->18
715,DATA,69,"[1,254]",18,115.858662,115.859161,0.000499,6,69->68->57->47->38->27->18
716,DATA,68,"[1,254]",18,115.865580,115.866010,0.000430,5,68->57->47->38->27->18
3387,DATA,24,"[1,254]",18,115.877432,115.877831,0.000399,5,24->34->35->26->17->18
3388,DATA,60,"[1,254]",18,115.912732,115.913599,0.000867,10,60->50->41->32->22->33->34->35->26->17->18
3389,DATA,23,"[1,254]",18,115.921284,115.921831,0.000548,7,23->14->24->34->35->26->17->18
3390,DATA,50,"[1,254]",18,115.930082,115.930876,0.000794,9,50->41->32->22->33->34->35->26->17->18
3391,DATA,33,"[1,254]",18,115.933927,115.934319,0.000392,5,33->34->35->26->17->18
717,DATA,68,"[1,254]",18,115.934884,115.935314,0.000430,5,68->57->47->38->27->18
3392,DATA,52,"[1,254]",18,115.969195,115.969975,0.000780,9,52->41->32->22->33->34->35->26->17->18
3393,DATA,30,"[1,254]",18,115.969482,115.970320,0.000839,10,30->20->10->11->22->33->34->35->26->17->18
338,DATA,8,"[1,254]",18,115.977090,115.977162,0.000072,1,8->18
3394,DATA,51,"[1,254]",18,116.003662,116.004415,0.000753,9,51->41->32->22->33->34->35->26->17->18
3395,DATA,26,"[1,254]",18,116.019747,116.019901,0.000155,2,26->17->18
3396,DATA,50,"[1,254]",18,116.028965,116.029759,0.000794,9,50->41->32->22->33->34->35->26->17->18
3397,DATA,7,"[1,254]",18,116.110495,116.110858,0.000364,5,7->6->16->26->17->18
3398,DATA,76,"[1,254]",18,116.172968,116.173844,0.000876,11,76->86->75->65->64->54->43->34->35->26->17->18
3399,DATA,15,"[1,254]",18,116.185629,116.185881,0.000251,3,15->26->17->18
3400,DATA,80,"[1,254]",18,116.191147,116.192286,0.001140,13,80->81->92->93->83->73->63->54->43->34->35->26->17->18
3401,DATA,93,"[1,254]",18,116.225442,116.226290,0.000847,10,93->83->73->63->54->43->34->35->26->17->18
