node_id,role,addr,ch_addr,battery_pct,downstream_ch_addr,neighbors,members,child_networks
23,REGISTERED,5.5,,95.33,,"[('5.254', 'CLUSTER_HEAD', 1), ('3.5', '?', 2), ('5.2', 'ROUTER', 1), ('1.6', '?', 2), ('5.3', '?', 2), ('1.7', 'REGISTERED', 1), ('5.4', 'ROUTER', 1), ('6.254', '?', 2), ('6.3', '?', 2), ('1.254', '?', 2), ('1.5', '?', 2), ('12.254', '?', 2)]",[],[]
24,REGISTERED,9.3,,96.53,,"[('8.2', '?', 2), ('9.254', 'CLUSTER_HEAD', 1), ('9.4', 'REGISTERED', 1), ('10.2', '?', 2), ('9.2', '?', 2), ('9.5', '?', 2), ('11.254', '?', 2), ('9.6', '?', 2), ('9.7', 'REGISTERED', 1), ('7.4', '?', 2), ('10.3', '?', 2), ('11.4', 'REGISTERED', 1)]",[],[]
25,CLUSTER_HEAD,9.1,9.254,81.59,,"[('8.2', 'ROUTER', 1), ('8.254', '?', 2), ('7.2', '?', 2), ('9.2', 'ROUTER', 1), ('9.3', 'REGISTERED', 1), ('9.4', 'REGISTERED', 1), ('10.2', '?', 2), ('9.5', 'REGISTERED', 1), ('11.2', '?', 2), ('4.3', '?', 2), ('9.6', 'REGISTERED', 1), ('3.6', '?', 2), ('3.2', '?', 2), ('11.254', '?', 2), ('7.4', '?', 2), ('9.7', 'REGISTERED', 1), ('10.3', '?', 2), ('11.4', 'REGISTERED', 1)]","[('9.2', 9), ('9.3', 24), ('9.4', 32), ('9.5', 33), ('9.6', 26), ('9.7', 17)]","[(11, '9.2', 'VALID')]"
26,REGISTERED,9.6,,93.85,,"[('9.5', 'REGISTERED', 1), ('9.254', 'CLUSTER_HEAD', 1), ('10.2', '?', 2), ('9.4', '?', 2), ('4.3', 'REGISTERED', 1), ('8.2', '?', 2), ('9.2', '?', 2), ('9.3', '?', 2), ('8.254', 'CLUSTER_HEAD', 1), ('3.3', '?', 2), ('7.2', '?', 2), ('3.6', 'REGISTERED', 1), ('2.3', '?', 2), ('3.254', '?', 2), ('3.2', 'REGISTERED', 1), ('2.2', '?', 2), ('4.254', '?', 2), ('9.7', '?', 2), ('10.3', '?', 2), ('11.4', '?', 2)]",[],[]
27,REGISTERED,3.6,,92.67,,"[('2.3', 'ROUTER', 1), ('2.254', '?', 2), ('2.2', '?', 2), ('3.254', 'CLUSTER_HEAD', 1), ('3.2', 'REGISTERED', 1), ('3.4', '?', 2), ('1.4', '?', 2), ('3.3', '?', 2), ('3.5', '?', 2), ('8.254', 'CLUSTER_HEAD', 1), ('8.2', '?', 2), ('7.2', '?', 2), ('9.254', '?', 2), ('4.254', '?', 2), ('4.3', 'REGISTERED', 1), ('9.5', '?', 2), ('9.6', 'REGISTERED', 1), ('10.3', '?', 2)]",[],[]
28,CLUSTER_HEAD,3.1,3.254,60.54,,"[('2.3', 'ROUTER', 1), ('2.254', '?', 2), ('2.2', '?', 2), ('3.2', 'REGISTERED', 1), ('3.3', 'ROUTER', 1), ('3.4', 'REGISTERED', 1), ('3.5', 'ROUTER', 1), ('4.254', '?', 2), ('1.4', 'REGISTERED', 1), ('1.254', '?', 2), ('1.1', '?', 2), ('1.3', '?', 2), ('1.6', '?', 2), ('7.3', '?', 2), ('3.6', 'REGISTERED', 1), ('4.3', '?', 2), ('8.254', '?', 2), ('5.254', '?', 2), ('5.3', '?', 2), ('9.6', '?', 2)]","[('3.2', 35), ('3.3', 20), ('3.4', 29), ('3.5', 21), ('3.6', 27)]","[(5, '3.5', 'VALID'), (6, '3.5', 'VALID'), (7, '3.5', 'VALID'), (8, '3.3', 'VALID'), (9, '3.3', 'VALID'), (11, '3.3', 'VALID'), (12, '3.5', 'VALID')]"
29,REGISTERED,3.4,,91.81,,"[('2.3', 'ROUTER', 1), ('2.254', '?', 2), ('2.2', '?', 2), ('3.254', 'CLUSTER_HEAD', 1), ('3.3', 'ROUTER', 1), ('3.2', '?', 2), ('3.5', 'ROUTER', 1), ('1.4', 'REGISTERED', 1), ('1.254', '?', 2), ('1.1', '?', 2), ('1.3', '?', 2), ('1.6', 'REGISTERED', 1), ('7.3', '?', 2), ('3.6', '?', 2), ('5.254', '?', 2), ('8.254', '?', 2), ('5.3', '?', 2), ('1.7', '?', 2)]",[],[]
30,REGISTERED,1.6,,93.76,,"[('1.254', 'ROOT', 1), ('1.1', '?', 2), ('1.2', '?', 2), ('1.3', '?', 2), ('1.4', 'REGISTERED', 1), ('5.254', 'CLUSTER_HEAD', 1), ('3.5', '?', 2), ('5.2', '?', 2), ('3.4', 'REGISTERED', 1), ('2.3', '?', 2), ('3.254', '?', 2), ('3.3', '?', 2), ('2.254', '?', 2), ('1.5', '?', 2), ('5.3', '?', 2), ('1.7', 'REGISTERED', 1), ('5.4', '?', 2), ('5.5', '?', 2)]",[],[]
31,REGISTERED,1.7,,93.88,,"[('1.254', 'ROOT', 1), ('1.1', '?', 2), ('1.2', '?', 2), ('1.3', '?', 2), ('1.4', '?', 2), ('1.5', 'REGISTERED', 1), ('1.6', 'REGISTERED', 1), ('5.254', 'CLUSTER_HEAD', 1), ('3.5', '?', 2), ('5.2', '?', 2), ('5.3', '?', 2), ('3.4', '?', 2), ('5.4', '?', 2), ('5.5', 'REGISTERED', 1)]",[],[]
32,REGISTERED,9.4,,95.89,,"[('8.2', '?', 2), ('9.254', 'CLUSTER_HEAD', 1), ('9.3', 'REGISTERED', 1), ('10.2', 'REGISTERED', 1), ('4.2', '?', 2), ('10.254', '?', 2), ('9.2', '?', 2), ('9.5', 'REGISTERED', 1), ('4.3', '?', 2), ('9.6', '?', 2), ('9.7', '?', 2), ('10.3', 'REGISTERED', 1), ('4.254', '?', 2), ('11.4', '?', 2)]",[],[]
